"symbol","CP","type","strike","ask","EP Buy","Llhd Blw EP","EV Blw EP","EV"
"BKNG",2696.68,"put",2690,33.3,2656.7,0.45818,2492.8352018846,5703.69672005161
"BLK",694.03,"put",695,10.3,684.7,0.40971,658.319363913271,472.842341109356
"UNH",504.48,"put",505,6.15,498.85,0.42671,481.391392455983,392.402892510756
"AVGO",632.32,"put",635,9.8,625.2,0.43237,603.344031328629,388.709117444065
"ADBE",377.55,"put",380,7.2,372.8,0.44739,355.459229176677,377.92954586466
"INTU",442.59,"put",442.5,7.9,434.6,0.39479,416.132615893408,250.95795714413
"LMT",501.41,"put",502.5,5.9,496.6,0.41176,482.132417143539,248.655591697641
"COST",496.9,"put",495,4.8,490.2,0.37427,475.579357171359,246.85639914756
"GS",333.91,"put",335,4.95,330.05,0.42153,317.504186618958,242.501021451081
"NVDA",276.67,"put",275,6.3,268.7,0.37968,252.596022745937,220.634208382282
