Symbol,P/E Ratio,EPS,Prev Close
AADI,1.65,4.65,7.590000152587891
AAL,75.95,0.19,13.960000038146973
AAME,17.86,0.14,2.5199999809265137
AAON,48.85,1.86,89.79000091552734
AAPL,26.74,5.89,157.39999389648438
ABCB,7.67,4.99,36.029998779296875
ABCL,14.86,0.51,7.570000171661377
ABCM,170.94,0.08,13.420000076293945
ABNB,44.49,2.76,118.4000015258789
ABOS,3.28,1.2,3.75
ACAH,167.67,0.06,10.0600004196167
ACAX,1029.0,0.01,10.289999961853027
ACDC,60.45,0.22,14.670000076293945
ACGL,18.48,3.63,65.61000061035156
ACGLN,4.09,4.69,18.959999084472656
ACGLO,4.59,4.69,21.5
ACHC,23.89,2.99,70.44999694824219
ACIW,21.67,1.2,26.149999618530273
ACLS,23.61,5.6,131.50999450683594
ACMR,20.82,0.57,11.859999656677246
ACNB,7.95,4.15,32.29999923706055
ACNT,3.0,2.97,9.130000114440918
ACRX,0.11,5.54,0.5799999833106995
ACT,5.2,4.31,21.93000030517578
ADBE,35.8,10.27,362.8800048828125
ADEA,6.54,1.29,8.319999694824219
ADER,39.81,0.26,10.350000381469727
ADERU,47.35,0.22,10.369999885559082
ADI,28.44,6.6,187.05999755859375
ADP,37.83,5.76,215.8699951171875
ADSK,37.71,5.44,200.4199981689453
ADTH,5.16,0.31,1.590000033378601
ADTN,319.4,0.05,15.479999542236328
ADUS,47.5,2.09,99.0
AEIS,27.75,3.5,95.7699966430664
AEP,19.68,4.57,91.76000213623047
AEPPZ,10.48,4.76,50.40999984741211
AFBI,12.49,1.12,13.619999885559082
AFCG,6.88,1.82,12.109999656677246
AFYA,25.25,0.44,10.789999961853027
AGIO,0.99,22.93,22.729999542236328
AGNC,1.8,5.52,9.680000305175781
AGNCM,3.7,5.52,20.520000457763672
AGNCN,4.49,5.52,24.600000381469727
AGNCO,3.8,5.52,21.040000915527344
AGNCP,7.2,2.71,19.549999237060547
AIMC,30.56,2.02,61.11000061035156
AKAM,22.38,3.37,75.13999938964844
ALCO,6.99,3.56,24.639999389648438
ALGM,192.61,0.24,46.560001373291016
ALGN,56.05,5.76,316.3599853515625
